location_id,location_set_version_id,location_set_id,parent_id,path_to_top_parent,level,is_estimate,most_detailed,sort_order,location_name,location_ascii_name,location_name_short,location_name_medium,location_type_id,location_type,map_id,super_region_id,super_region_name,region_id,region_name,ihme_loc_id,local_id,developed,start_date,end_date,date_inserted,last_updated,last_updated_by,last_updated_action,lancet_label,who_label
126,1020.0,111.0,124.0,"1,103,124,126",3.0,1.0,1.0,28,Costa Rica,Costa Rica,Costa Rica,Costa Rica,2.0,admin0,,103.0,Latin America and Caribbean,124.0,Central Latin America,CRI,CRI,0,2022-03-02 13:13:22,,2022-03-02 13:13:22,2022-03-02 13:13:22,bhuntley,INSERT,,
127,1020.0,111.0,124.0,"1,103,124,127",3.0,1.0,1.0,29,El Salvador,El Salvador,El Salvador,El Salvador,2.0,admin0,,103.0,Latin America and Caribbean,124.0,Central Latin America,SLV,SLV,0,2022-03-02 13:13:22,,2022-03-02 13:13:22,2022-03-02 13:13:22,bhuntley,INSERT,,
128,1020.0,111.0,124.0,"1,103,124,128",3.0,1.0,1.0,30,Guatemala,Guatemala,Guatemala,Guatemala,2.0,admin0,,103.0,Latin America and Caribbean,124.0,Central Latin America,GTM,GTM,0,2022-03-02 13:13:22,,2022-03-02 13:13:22,2022-03-02 13:13:22,bhuntley,INSERT,,
129,1020.0,111.0,124.0,"1,103,124,129",3.0,1.0,1.0,31,Honduras,Honduras,Honduras,Honduras,2.0,admin0,,103.0,Latin America and Caribbean,124.0,Central Latin America,HND,HND,0,2022-03-02 13:13:22,,2022-03-02 13:13:22,2022-03-02 13:13:22,bhuntley,INSERT,,
130,1020.0,111.0,124.0,"1,103,124,130",3.0,0.0,0.0,32,Mexico,Mexico,Mexico,Mexico,2.0,admin0,,103.0,Latin America and Caribbean,124.0,Central Latin America,MEX,MEX,0,2022-03-02 13:13:22,,2022-03-02 13:13:22,2022-03-02 13:13:22,bhuntley,INSERT,,
4643,1020.0,111.0,130.0,"1,103,124,130,4643",4.0,1.0,1.0,33,Aguascalientes,Aguascalientes,Aguascalientes,Aguascalientes,3.0,admin1,,103.0,Latin America and Caribbean,124.0,Central Latin America,MEX_4643,MX-AGU,0,2022-03-02 13:13:22,,2022-03-02 13:13:22,2022-03-02 13:13:22,bhuntley,INSERT,,
4644,1020.0,111.0,130.0,"1,103,124,130,4644",4.0,1.0,1.0,34,Baja California,Baja California,Baja CA,Baja California,3.0,admin1,,103.0,Latin America and Caribbean,124.0,Central Latin America,MEX_4644,MX-BCN,0,2022-03-02 13:13:22,,2022-03-02 13:13:22,2022-03-02 13:13:22,bhuntley,INSERT,,
4645,1020.0,111.0,130.0,"1,103,124,130,4645",4.0,1.0,1.0,35,Baja California Sur,Baja California Sur,Baja CA Sur,Baja California Sur,3.0,admin1,,103.0,Latin America and Caribbean,124.0,Central Latin America,MEX_4645,MX-BCS,0,2022-03-02 13:13:22,,2022-03-02 13:13:22,2022-03-02 13:13:22,bhuntley,INSERT,,
4646,1020.0,111.0,130.0,"1,103,124,130,4646",4.0,1.0,1.0,36,Campeche,Campeche,Campeche,Campeche,3.0,admin1,,103.0,Latin America and Caribbean,124.0,Central Latin America,MEX_4646,MX-CAM,0,2022-03-02 13:13:22,,2022-03-02 13:13:22,2022-03-02 13:13:22,bhuntley,INSERT,,
4647,1020.0,111.0,130.0,"1,103,124,130,4647",4.0,1.0,1.0,37,Coahuila,Coahuila,Coahuila,Coahuila,3.0,admin1,,103.0,Latin America and Caribbean,124.0,Central Latin America,MEX_4647,MX-COA,0,2022-03-02 13:13:22,,2022-03-02 13:13:22,2022-03-02 13:13:22,bhuntley,INSERT,,
4648,1020.0,111.0,130.0,"1,103,124,130,4648",4.0,1.0,1.0,38,Colima,Colima,Colima,Colima,3.0,admin1,,103.0,Latin America and Caribbean,124.0,Central Latin America,MEX_4648,MX-COL,0,2022-03-02 13:13:22,,2022-03-02 13:13:22,2022-03-02 13:13:22,bhuntley,INSERT,,
4649,1020.0,111.0,130.0,"1,103,124,130,4649",4.0,1.0,1.0,39,Chiapas,Chiapas,Chiapas,Chiapas,3.0,admin1,,103.0,Latin America and Caribbean,124.0,Central Latin America,MEX_4649,MX-CHP,0,2022-03-02 13:13:22,,2022-03-02 13:13:22,2022-03-02 13:13:22,bhuntley,INSERT,,
4650,1020.0,111.0,130.0,"1,103,124,130,4650",4.0,1.0,1.0,40,Chihuahua,Chihuahua,Chihuahua,Chihuahua,3.0,admin1,,103.0,Latin America and Caribbean,124.0,Central Latin America,MEX_4650,MX-CHH,0,2022-03-02 13:13:22,,2022-03-02 13:13:22,2022-03-02 13:13:22,bhuntley,INSERT,,
4651,1020.0,111.0,130.0,"1,103,124,130,4651",4.0,1.0,1.0,41,Mexico City,Mexico City,Mexico City,Mexico City,3.0,admin1,,103.0,Latin America and Caribbean,124.0,Central Latin America,MEX_4651,MX-DIF,0,2022-03-02 13:13:22,,2022-03-02 13:13:22,2022-03-02 13:13:22,bhuntley,INSERT,,
